id,name,error_tries,discovering_tries,uuid,timestamp,timestamp_s,duration,host,source,current_status,outgoing,incoming,degree,pages
23161,cvz2d76uniof3fqn53yeukxedvoobwytxh6jqkutjbx6wwopypeq.b32.i2p,1,354,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-14 02:05:41,2019-07-30 14:02:00,23756.316666666666,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,1
23166,muc7qjar2nvhoneo2hz4igs7grbu53bgtimox5xloghjof3cqrca.b32.i2p,2,360,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-14 02:05:58,2019-07-30 20:50:30,24164.533333333333,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,24
23258,au7jhslyt4cxkjp365bvqvend3hhykrrhbohtjqlgoqrlijbezja.b32.i2p,1,6,91f2d422-7e07-11e9-8770-080027530170,2019-07-14 04:00:02,2019-08-02 16:24:38,28104.6,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,21
23340,erwxt6266ouazyotvr2tfizq4qdusm47epf3sjm276mddahdthza.b32.i2p,1,348,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-14 09:01:33,2019-07-30 14:32:04,23370.516666666666,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,1
23492,yo43vlllvqh6erhxkebklxwbvvxhhfqvnycdxb6e7k3gypsevojq.b32.i2p,1,394,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-14 16:45:52,2019-08-01 23:38:05,26332.216666666667,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,28
23505,itppvvhuadbo2pa6zqhslmytdpmsmeiiuylvgdanaq465vodcesa.b32.i2p,2,2,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-14 18:11:15,2019-07-14 19:51:47,100.53333333333333,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,1
23515,7mvfp5ryc3b3iq7blxl2a3ofcmsjpo7twofjdzxijys4tdn62bua.b32.i2p,1,4,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-14 19:05:05,2019-08-02 14:27:03,27081.966666666667,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,104
23536,httqdatxk7a24xofrc2pmjjgchxzltih2pjhaznepzebfeqzojwa.b32.i2p,1,420,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-14 20:52:50,2019-08-03 09:07:27,28094.616666666665,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,28
23619,lnmwcbqedc5s4xfyraypau53skqajyrxpqezcjfxj4mzalnr3q2q.b32.i2p,1,4,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-15 02:05:03,2019-08-02 14:15:55,26650.866666666665,i2pProjectM1,FLOODFILL,FINISHED,10,0,0,21
23664,pat4dm55b2fm7h4fx5nd5yknhgtqg3ohh6ntfjv2hk447hcuddkq.b32.i2p,1,4,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-15 02:10:02,2019-08-02 14:10:37,26640.583333333332,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,1
23718,pdzt64jtpddedr4a5wvakj45ehge2y7cboehdsxsa7llv4wggg2a.b32.i2p,1,523,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-15 04:11:03,2019-08-08 06:45:03,34714.0,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,3
23798,7l47qybu6brzvz35osukhav5wzppsc2mx5bnmubndkarz37nc7jq.b32.i2p,1,347,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-15 09:17:18,2019-07-31 13:29:50,23292.533333333333,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,28
23879,aewt5ueothzql733anbqxfxocg3lwf2qq4hmw2stzvwzysdmqb7a.b32.i2p,2,11,91f2d422-7e07-11e9-8770-080027530170,2019-07-15 14:20:02,2019-08-02 21:46:04,26366.033333333333,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,142
23973,ibotkmupomhhoihv5trn2wqcyxmx6pxdee7sqbu5gx5vlecy73oq.b32.i2p,1,19,91f2d422-7e07-11e9-8770-080027530170,2019-07-15 20:45:04,2019-08-03 07:05:18,26540.233333333334,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,28
24004,3pl2x7okdcy2dvwc24rm4r37xqe7ks3iqm5dzu72i5rk7htb6v5q.b32.i2p,1,316,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-15 23:11:14,2019-07-30 17:13:52,21242.633333333335,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,31
24055,j5l4jf4ddovwfr4geyomkkt3e3nrz3kokjcemby4fcwlt7tf6aaa.b32.i2p,1,5,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-16 02:05:02,2019-08-02 15:21:39,25276.616666666665,i2pProjectM1,FLOODFILL,FINISHED,10,0,0,23
24074,o4w2e5o2o4qag7fofzyl533to4ym2yd3rep5bhwxry5wafvntzlq.b32.i2p,1,17,91f2d422-7e07-11e9-8770-080027530170,2019-07-16 02:05:05,2019-08-03 04:30:11,26065.1,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,28
24083,42pcqv4g2on35fuklqki4wf63s2eac3spgv7ksw637yfzp65c2ra.b32.i2p,1,5,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-16 02:06:00,2019-07-16 06:43:39,277.65,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,42
24106,s6lagaqbn572fvnr7vsxsqwbwxb6m3gr5hu6eetstykdm2opp2ia.b32.i2p,1,14,91f2d422-7e07-11e9-8770-080027530170,2019-07-16 02:15:02,2019-08-03 22:16:23,27121.35,i2pProjectM4,FLOODFILL,FINISHED,78,0,0,94
24174,mczwae6m72eiz3yglh67du2vaeylahljy523jz5lsk4c6iy64veq.b32.i2p,1,143,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-16 06:02:17,2019-07-22 14:04:14,9121.95,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,28
24410,sip2anzemf44hmv7o7wvt7ee5jnlahdus73mgc37fhl2u5psrc7q.b32.i2p,1,15,91f2d422-7e07-11e9-8770-080027530170,2019-07-17 01:10:05,2019-08-03 01:33:58,24503.883333333335,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,1
24548,z5cgpzw6p37j3mqgaasupc2tgfhvpnkj3am6btche5a7p2nfsnhq.b32.i2p,1,4,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-17 04:55:08,2019-07-17 10:16:12,321.06666666666666,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,28
24737,objjtwm2grit35p4gkuuscvr3bdh5fscmhawujoirn3hngdeqelq.b32.i2p,1,504,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-17 19:31:06,2019-08-09 23:18:07,33347.01666666667,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,1
24783,pbeueapr7rzoezchovdufit74bto4ikdr5rbuvorpto55sukjy3a.b32.i2p,1,47,91f2d422-7e07-11e9-8770-080027530170,2019-07-17 23:10:02,2019-08-04 12:33:56,25283.9,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,28
24821,tcnai23pvo6asfmefl23cllpp3vgrgp2jhtjare7vhloyzwm2pma.b32.i2p,1,269,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-18 01:25:43,2019-07-30 14:00:22,18034.65,i2pProjectM2,FLOODFILL,FINISHED,1,0,0,5
24835,vmvctwrvq2pjeo3cpzoxgrtmcl737ekbcshmpbbtechgrehfi2da.b32.i2p,1,24,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-18 02:05:04,2019-08-03 10:45:55,23560.85,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,1
