Label,Source,Target
2087,718,1381
2088,718,3605
2089,718,3480
2090,718,1184
2091,718,1149
2092,718,64
2093,718,3493
2094,718,1871
2095,718,6104
2096,718,6105
2097,718,6623
2098,718,744
2099,718,1610
2100,718,1512
2101,718,1384
2102,718,2860
2103,718,3516
2104,718,2652
2105,718,2761
2106,718,2446
2107,718,5990
2108,718,2212
2109,718,5988
2110,718,5989
2111,718,539
2112,718,3926
2113,718,860
2114,718,6624
2115,718,3627
2116,718,1497
2117,718,6059
2118,718,781
2119,718,3844
2120,718,790
2121,718,6625
2122,718,6419
2123,718,6626
2124,718,305
2125,718,2808
2126,718,464
2127,718,6627
2128,718,1261
2129,718,2646
2130,718,2574
2131,718,3423
2132,718,1045
2133,718,3332
2134,718,6628
2135,718,6212
2136,718,6629
2137,718,6630
2138,718,6631
2139,718,6213
2140,718,468
2141,718,3255
2142,718,6632
2143,718,6633
2144,718,2251
2145,718,3881
2146,718,557
2147,718,6051
2148,718,186
2149,718,6634
2150,718,6183
2151,718,4950
2152,718,157
2153,718,6635
2154,718,3031
2155,718,2731
2156,718,6186
2157,718,6187
2158,718,6011
2159,718,5942
2160,718,1425
2161,718,6636
2162,718,1242
2163,718,6637
2164,718,2138
2165,718,6638
2166,718,955
2167,718,935
2168,718,6639
2169,718,6640
2170,718,2287
2171,718,6641
2172,718,6642
2173,718,6643
2174,718,6644
2175,718,593
2176,718,3680
2177,718,3571
2178,718,2768
2179,718,904
2180,718,6178
2181,718,355
2182,718,3749
2183,718,3014
2184,718,2098
2185,718,6079
2186,718,6080
2187,718,3261
2188,718,6645
2189,718,6092
2190,718,6093
2191,718,401
2192,718,3764
2193,718,5997
2194,718,6502
2195,718,1286
2196,718,3663
2197,718,3379
2198,718,6646
2199,718,2813
2200,718,5251
2201,718,1038
2202,718,2198
2203,718,2099
2204,718,3587
2205,718,2206
2206,718,1826
2207,718,2263
2208,718,3215
2209,718,977
2210,718,3157
2211,718,1475
2212,718,6647
2213,718,6648
2214,718,6649
2215,718,6650
2216,718,924
2217,718,3669
2218,718,1141
2219,718,2691
2220,718,3388
2221,718,6651
2222,718,3329
2223,718,107
2224,718,1358
2225,718,3538
2226,718,6652
2227,718,3419
2228,718,4629
2229,718,2979
2230,718,4628
2231,718,6653
2232,718,6654
2233,718,6655
2234,718,6656
2235,718,6657
2236,718,6658
2237,718,6214
2238,718,6659
2239,718,6163
2240,718,678
2241,718,2001
2242,718,2954
2243,718,6673
2244,718,3518
2245,718,325
2246,718,2993
2247,718,1747
2248,718,1600
2249,718,570
2250,718,3476
2251,718,1307
2252,718,3214
718,812,6035
719,812,6036
720,812,6037
721,812,6038
722,812,6000
723,812,6039
